"filename", "language", "Python", "Makefile", "C#", "F#", "Shell Script", "Batch", "C++", "C", "XML", "HTML", "JSON", "Properties", "Objective-C", "LaTeX", "Markdown", "PowerShell", "JavaScript", "CSS", "reStructuredText", "Ini", "Perl", "CMake", "comment", "blank", "total"
"c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Library\include\freetype\ftmodapi.h", "C++", 0, 0, 0, 0, 0, 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 624, 69, 785
"c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Library\include\freetype\ftmoderr.h", "C++", 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 120, 31, 204
"c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Library\include\freetype\ftotval.h", "C++", 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 148, 25, 207
"c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Library\include\freetype\ftoutln.h", "C++", 0, 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 472, 50, 587
"c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Library\include\freetype\ftparams.h", "C++", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 140, 35, 204
"c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Library\include\freetype\ftpfr.h", "C++", 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 133, 21, 180
"c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Library\include\freetype\ftrender.h", "C++", 0, 0, 0, 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 119, 44, 245
"c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Library\include\freetype\ftsizes.h", "C++", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 118, 24, 160
"c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Library\include\freetype\ftsnames.h", "C++", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 207, 30, 273
"c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Library\include\freetype\ftstroke.h", "C++", 0, 0, 0, 0, 0, 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 621, 62, 774
"c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Library\include\freetype\ftsynth.h", "C++", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 20, 84
"c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\venv\Library\include\freetype\ftsystem.h", "C++", 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 260, 43, 353
